domain,problem,profile,seed,planner_status,planner_class,expected_solved,trivial_solved,hoisted_solved,variants_agree,trivial_success_rate,hoisted_success_rate,trivial_timeout_rate,hoisted_timeout_rate,trivial_avg_ticks_success,hoisted_avg_ticks_success,trivial_median_ticks_success,hoisted_median_ticks_success,trivial_p95_ticks_success,hoisted_p95_ticks_success,trivial_avg_node_ticks_success,hoisted_avg_node_ticks_success,trivial_median_node_ticks_success,hoisted_median_node_ticks_success,trivial_p95_node_ticks_success,hoisted_p95_node_ticks_success,trivial_nodes,hoisted_nodes,node_reduction,node_reduction_ratio,class_preserved_trivial,class_preserved_hoisted
ex-blocksworld,p,uniform,1337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,157.0,147.0,157.0,147.0,157.0,147.0,83,62,21,0.25301204819277107,1,1
ex-blocksworld,p,mild_skew,101337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,157.0,147.0,157.0,147.0,157.0,147.0,83,62,21,0.25301204819277107,1,1
ex-blocksworld,p,strong_skew,201337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,157.0,147.0,157.0,147.0,157.0,147.0,83,62,21,0.25301204819277107,1,1
first-responders,p,uniform,2337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,32.1265,32.1265,31.0,31.0,42.0,42.0,2647.7285,1482.322,2585.0,1446.0,3436.0,1956.0,491,275,216,0.439918533604888,1,1
first-responders,p,mild_skew,102337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,41.437,41.437,40.0,40.0,59.0,59.0,3374.0295,1904.44,3274.0,1847.0,4735.0,2728.0,491,275,216,0.439918533604888,1,1
first-responders,p,strong_skew,202337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,94.188,94.188,89.0,89.0,157.0,157.0,7522.1595,4290.9225,7075.0,4045.0,12440.0,7146.0,491,275,216,0.439918533604888,1,1
zenotravel,p,uniform,3337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,39.0875,39.0875,39.0,39.0,48.0,48.0,1816.71,1201.852,1797.0,1190.0,2225.0,1474.0,297,144,153,0.5151515151515151,1,1
zenotravel,p,mild_skew,103337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,52.0135,52.0135,51.0,51.0,68.0,68.0,2364.41,1585.593,2324.0,1558.0,3120.0,2087.0,297,144,153,0.5151515151515151,1,1
zenotravel,p,strong_skew,203337,PlanGenerationResultStatus.SOLVED_SATISFICING,strong_or_strong_cyclic,1,1,1,1,1.0,1.0,0.0,0.0,130.01,130.01,128.0,128.0,183.0,183.0,5679.7505,3899.3845,5518.0,3809.0,8286.0,5596.0,297,144,153,0.5151515151515151,1,1
